SMILES,Symbol,L,D
*NC(C)(C)C(*)=O,AIB,CC(C)(N)C(=O)O,
*NC(C(*)=O)C(C)C,VAL,CC(C)[C@@H](N)C(=O)O,CC(C)[C@H](N)C(=O)O
*NC(CC(C)C)C(*)=O,LEU,CC(C)C[C@H](N)C(=O)O,CC(C)C[C@@H](N)C(=O)O
*NC(C)C(*)=O,ALA,C[C@H](N)C(=O)O,C[C@@H](N)C(=O)O
*NC(C(*)=O)C(C)O,THR,CC(O)[C@@H](N)C(=O)O,CC(O)[C@H](N)C(=O)O
*NC(C(*)=O)C(C)CC,ILE,CCC(C)[C@@H](N)C(=O)O,CCC(C)[C@H](N)C(=O)O
*NC(CC)C(*)=O,ABU,CC[C@H](N)C(=O)O,CC[C@@H](N)C(=O)O
*NC(CCSC)C(*)=O,MET,CSCC[C@H](N)C(=O)O,CSCC[C@@H](N)C(=O)O
*N,NH2,N,
*NC(CCCNC(=N)N)C(*)=O,ARG,N=C(N)NCCC[C@H](N)C(=O)O,N=C(N)NCCC[C@@H](N)C(=O)O
*NC(CC(N)=O)C(*)=O,ASN,NC(=O)C[C@H](N)C(=O)O,NC(=O)C[C@@H](N)C(=O)O
*NC(CCC(N)=O)C(*)=O,GLN,NC(=O)CC[C@H](N)C(=O)O,NC(=O)CC[C@@H](N)C(=O)O
*NC(CC(=O)O)C(*)=O,ASP,N[C@@H](CC(=O)O)C(=O)O,N[C@H](CC(=O)O)C(=O)O
*NC(Cc1ccc(O)cc1)C(*)=O,TYR,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O,N[C@H](CC1=CC=C(O)C=C1)C(=O)O
*NC(Cc1ccccc1)C(*)=O,PHE,N[C@@H](CC1=CC=CC=C1)C(=O)O,N[C@H](CC1=CC=CC=C1)C(=O)O
*NC(Cc1c[nH]cn1)C(*)=O,HIE,N[C@@H](CC1=CNC=N1)C(=O)O,N[C@H](CC1=CNC=N1)C(=O)O
*NC(Cc1cnc[nH]1)C(*)=O,HID,N[C@@H](CC1=CN=CN1)C(=O)O,N[C@H](CC1=CN=CN1)C(=O)O
*NC(Cc1c[nH]c2ccccc12)C(*)=O,TRP,N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)O,N[C@H](CC1=CNC2=CC=CC=C12)C(=O)O
*NC(CCC(=O)O)C(*)=O,GLU,N[C@@H](CCC(=O)O)C(=O)O,N[C@H](CCC(=O)O)C(=O)O
*NC(CO)C(*)=O,SER,N[C@@H](CO)C(=O)O,N[C@H](CO)C(=O)O
*NC(CS)C(*)=O,CYS,N[C@@H](CS)C(=O)O,N[C@H](CS)C(=O)O
*NCC(*)=O,GLY,NCC(=O)O,
*NC(CCN)C(*)=O,DAB,NCC[C@H](N)C(=O)O,NCC[C@@H](N)C(=O)O
*NC(CCCN)C(*)=O,ORN,NCCC[C@H](N)C(=O)O,NCCC[C@@H](N)C(=O)O
*NC(CCCCN)C(*)=O,LYS,NCCCC[C@H](N)C(=O)O,NCCCC[C@@H](N)C(=O)O
*C(=O)C1CCCN1*,PRO,O=C(O)[C@H]1CCCN1,O=C(O)[C@@H]1CCCN1
*NC1(C(*)=O)CCCC1,SPG,NC1(C(=O)O)CCCC1,
*NC(CCCCC(N)C(=O)O)C(*)=O,DSU,N[C@H](CCCC[C@H](N)C(=O)O)C(=O)O,N[C@H](CCCC[C@H](N)C(=O)O)C(=O)O
*NC(CCCCC(=O)O)C(*)=O,APM,N[C@@H](CCCCC(=O)O)C(=O)O,N[C@H](CCCCC(=O)O)C(=O)O
*NC(CCCCCCCC)C(*)=O,ACA,CCCCCCCC[C@H](N)C(=O)O,CCCCCCCC[C@@H](N)C(=O)O
*NC(CCCC(=O)O)C(*)=O,AAD,N[C@@H](CCCC(=O)O)C(=O)O,N[C@H](CCCC(=O)O)C(=O)O
*NC(CCCCCC(=O)O)C(*)=O,ASU,N[C@@H](CCCCCC(=O)O)C(=O)O,N[C@H](CCCCCC(=O)O)C(=O)O
*NC(C(*)=O)c1ccccc1,PHG,N[C@@H](C(=O)O)C1=CC=CC=C1,N[C@H](C(=O)O)C1=CC=CC=C1
*C(=O)C(C)O,LAC,CC(O)C(=O)O,CC(O)C(=O)O
*C(=O)C(O)CCC,HVA,CCCC(O)C(=O)O,CCCC(O)C(=O)O
*C(=O)CC(C)(C)O,HIV,CC(C)(O)CC(=O)O,
*C(=O)C1CCN1*,AZE,O=C(O)[C@H]1CCN1,O=C(O)[C@@H]1CCN1
*NC(CCCN)CC(*)=O,BLY,NCCC[C@H](N)CC(=O)O,NCCC[C@@H](N)CC(=O)O
*NC(CC1CCCCC1)C(*)=O,CHA,N[C@@H](CC1CCCCC1)C(=O)O,N[C@H](CC1CCCCC1)C(=O)O
*NC(CS(=O)(=O)O)C(*)=O,CYA,N[C@@H](CS(=O)(=O)O)C(=O)O,N[C@H](CS(=O)(=O)O)C(=O)O
*NC(C(*)=O)C(C)(C)C,TLE,CC(C)(C)[C@@H](N)C(=O)O,CC(C)(C)[C@H](N)C(=O)O
*NC(Cc1cccc2ccccc12)C(*)=O,NAL,N[C@@H](CC1=CC=CC2=CC=CC=C12)C(=O)O,N[C@H](CC1=CC=CC2=CC=CC=C12)C(=O)O
*C(=O)C1C(O)C(C)CN1*,MHP,CC1CN[C@@H](C(=O)O)C1O,CC1CN[C@H](C(=O)O)C1O
*NC(Cc1ccsc1)C(*)=O,THI,N[C@@H](CC1=CSC=C1)C(=O)O,N[C@H](CC1=CSC=C1)C(=O)O
*NC(Cc1cscn1)C(*)=O,TZA,N[C@@H](CC1=CSC=N1)C(=O)O,N[C@H](CC1=CSC=N1)C(=O)O
*NCC(O)CC(*)=O,BUX,NCC(O)CC(=O)O,NCC(O)CC(=O)O
*C(=O)C1CC(O)CN1*,HYP,O=C(O)[C@H]1CC(O)CN1,O=C(O)[C@@H]1CC(O)CN1
*NC(CCC(O)CN)C(*)=O,HYL,NCC(O)CC[C@H](N)C(=O)O,NCC(O)CC[C@@H](N)C(=O)O
*NC(CCCNC(N)=O)C(*)=O,CIT,NC(=O)NCCC[C@H](N)C(=O)O,NC(=O)NCCC[C@@H](N)C(=O)O
*C(=O)CN(*)Cc1ccccc1,NGL,O=C(O)CNCC1=CC=CC=C1,
*NC(CSCCS(=O)(=O)O)C(*)=O,EDC,N[C@@H](CSCCS(=O)(=O)O)C(=O)O,N[C@H](CSCCS(=O)(=O)O)C(=O)O
*C(=O)C1CC2CCCCC2N1*,OIC,O=C(O)[C@H]1CC2CCCC[C@H]2N1,O=C(O)[C@@H]1CC2CCCC[C@@H]2N1
*C(=O)CCC,BUA,CCCC(=O)O,
*NC(CN)C(*)=O,DAP,NC[C@H](N)C(=O)O,NC[C@@H](N)C(=O)O
*NC(CCCC(N)C(=O)O)C(*)=O,DPM,N[C@H](CCC[C@H](N)C(=O)O)C(=O)O,N[C@H](CCC[C@H](N)C(=O)O)C(=O)O
*NC(CCS)C(*)=O,HCY,N[C@@H](CCS)C(=O)O,N[C@H](CCS)C(=O)O
*NC(CCCCNC(=N)N)C(*)=O,HAR,N=C(N)NCCCC[C@H](N)C(=O)O,N=C(N)NCCCC[C@@H](N)C(=O)O
*NC(CCO)C(*)=O,HSE,N[C@@H](CCO)C(=O)O,N[C@H](CCO)C(=O)O
*NC(CCc1cnc[nH]1)C(*)=O,HHS,N[C@@H](CCC1=CN=CN1)C(=O)O,N[C@H](CCC1=CN=CN1)C(=O)O
*C(=O)CN(*)C,SAR,CNCC(=O)O,
*C(=O)C1CCC(=O)N1*,GLP,O=C1CC[C@H](C(=O)O)N1,O=C1CC[C@@H](C(=O)O)N1
*C(=O)C1CCCCN1*,PIP,O=C(O)[C@H]1CCCCN1,O=C(O)[C@@H]1CCCCN1
*NC(C(*)=O)C(C)(C)S,PEN,CC(C)(S)[C@@H](N)C(=O)O,CC(C)(S)[C@H](N)C(=O)O
*C(=O)CCS,MPA,O=C(O)CCS,
*C(=O)C(S)CC,MBA,CCC(S)C(=O)O,CCC(S)C(=O)O
*C(=O)CS,MAA,O=C(O)CS,
*C(C)=O,ACE,CC(=O)O,
*NC,NME,CN,
*NC(CC(C)C)C(O)CC(*)=O,STA,CC(C)C[C@H](N)C(O)CC(=O)O,CC(C)C[C@@H](N)C(O)CC(=O)O
*C(=O)CO,GLC,O=C(O)CO,
*NC(C)(CC)C(*)=O,IVA,CC[C@](C)(N)C(=O)O,CC[C@@](C)(N)C(=O)O
*NC(CCCC)C(*)=O,NLE,CCCC[C@H](N)C(=O)O,CCCC[C@@H](N)C(=O)O
*NC(CCC)C(*)=O,NVA,CCC[C@H](N)C(=O)O,CCC[C@@H](N)C(=O)O
*C(=O)CCn1ccc(=O)n(*)c1=O,WIL,*N1C(=O)C=CN(CCC(=O)O)C1=O,
*NC(C(*)=O)C1Cc2ccccc2C1,IGL,N[C@@H](C(=O)O)C1CC2=CC=CC=C2C1,N[C@H](C(=O)O)C1CC2=CC=CC=C2C1
*NCCC(*)=O,BAL,NCCC(=O)O,
*NC(Cc1ccccc1)C(O)CC(*)=O,APP,N[C@@H](CC1=CC=CC=C1)C(O)CC(=O)O,N[C@H](CC1=CC=CC=C1)C(O)CC(=O)O
*NC(CC1CCCCC1)C(O)CC(*)=O,CAP,N[C@@H](CC1CCCCC1)C(O)CC(=O)O,N[C@H](CC1CCCCC1)C(O)CC(=O)O
*NC(CC(C(=O)O)C(=O)O)C(*)=O,GGU,N[C@@H](CC(C(=O)O)C(=O)O)C(=O)O,N[C@H](CC(C(=O)O)C(=O)O)C(=O)O
*NC(CC(C=O)C(=O)O)C(*)=O,GLA,N[C@@H](CC(C=O)C(=O)O)C(=O)O,N[C@H](CC(C=O)C(=O)O)C(=O)O
*NC(CCCC[N+](C)(C)C)C(*)=O,TML,C[N+](C)(C)CCCC[C@H](N)C(=O)O,C[N+](C)(C)CCCC[C@@H](N)C(=O)O
*NCCCCCCCCCCCC(*)=O,OAA,NCCCCCCCCCCCC(=O)O,
*NC(CCC(C)C)C(*)=O,HLE,CC(C)CC[C@H](N)C(=O)O,CC(C)CC[C@@H](N)C(=O)O
*NC(C(*)=O)C(C)OCc1ccccc1,BTH,CC(OCC1=CC=CC=C1)[C@@H](N)C(=O)O,CC(OCC1=CC=CC=C1)[C@H](N)C(=O)O
*C(=O)C1N(*)CSC1(C)C,DMT,CC1(C)SCN[C@@H]1C(=O)O,CC1(C)SCN[C@H]1C(=O)O
*NC(Cc1c(F)c(F)c(F)c(F)c1F)C(*)=O,PFF,N[C@@H](CC1=C(F)C(F)=C(F)C(F)=C1F)C(=O)O,N[C@H](CC1=C(F)C(F)=C(F)C(F)=C1F)C(=O)O
*NC(C(*)=O)C(c1ccccc1)c1ccccc1,DIP,N[C@@H](C(=O)O)C(C1=CC=CC=C1)C1=CC=CC=C1,N[C@H](C(=O)O)C(C1=CC=CC=C1)C1=CC=CC=C1
*NC(Cc1ccc(C(=O)c2ccccc2)cc1)C(*)=O,BPA,N[C@@H](CC1=CC=C(C(=O)C2=CC=CC=C2)C=C1)C(=O)O,N[C@H](CC1=CC=C(C(=O)C2=CC=CC=C2)C=C1)C(=O)O
*NC(Cc1ccc(-c2ccccc2)cc1)C(*)=O,BIP,N[C@@H](CC1=CC=C(C2=CC=CC=C2)C=C1)C(=O)O,N[C@H](CC1=CC=C(C2=CC=CC=C2)C=C1)C(=O)O
*NC(Cc1ccccn1)C(*)=O,2PA,N[C@@H](CC1=CC=CC=N1)C(=O)O,N[C@H](CC1=CC=CC=N1)C(=O)O
*NC(Cc1ccco1)C(*)=O,2FU,N[C@@H](CC1=CC=CO1)C(=O)O,N[C@H](CC1=CC=CO1)C(=O)O
*NC(Cc1cccs1)C(*)=O,2TH,N[C@@H](CC1=CC=CS1)C(=O)O,N[C@H](CC1=CC=CS1)C(=O)O
*NC(Cc1ccncc1)C(*)=O,4PA,N[C@@H](CC1=CC=NC=C1)C(=O)O,N[C@H](CC1=CC=NC=C1)C(=O)O
*NC(Cc1ccc2ccccc2c1)C(*)=O,2NA,N[C@@H](CC1=CC=C2C=CC=CC2=C1)C(=O)O,N[C@H](CC1=CC=C2C=CC=CC2=C1)C(=O)O
*NC(Cc1cccnc1)C(*)=O,3PA,N[C@@H](CC1=CC=CN=C1)C(=O)O,N[C@H](CC1=CC=CN=C1)C(=O)O
*NC(Cc1csc2ccccc12)C(*)=O,BAL,N[C@@H](CC1=CSC2=CC=CC=C12)C(=O)O,N[C@H](CC1=CSC2=CC=CC=C12)C(=O)O
*NC(CCc1ccccc1)C(*)=O,HPH,N[C@@H](CCC1=CC=CC=C1)C(=O)O,N[C@H](CCC1=CC=CC=C1)C(=O)O
*NC1(C(*)=O)CC1,A3C,NC1(C(=O)O)CC1,
*NC1(C(*)=O)Cc2ccccc2C1,AIC,NC1(C(=O)O)CC2=CC=CC=C2C1,
*NC1(C(*)=O)CCC1,A4C,NC1(C(=O)O)CCC1,
*NC1(C(*)=O)CCCCC1,A6C,NC1(C(=O)O)CCCCC1,
*NC1(C(*)=O)CCNCC1,APC,NC1(C(=O)O)CCNCC1,
*NC1(C(*)=O)CCOCC1,ACT,NC1(C(=O)O)CCOCC1,
*Nc1nc(-c2ccccc2)c[nH]1,PIM,NC1=NC(C2=CC=CC=C2)=CN1,
*NCCCCC(*)=O,AVA,NCCCCC(=O)O,
*C(=O)C1C=CCN1*,DHP,O=C(O)[C@H]1C=CCN1,O=C(O)[C@@H]1C=CCN1
*C(=O)C1Cc2ccccc2CN1*,TIC,O=C(O)[C@H]1CC2=CC=CC=C2CN1,O=C(O)[C@@H]1CC2=CC=CC=C2CN1
*C(=O)C1Cc2ccccc2N1*,INC,O=C(O)[C@H]1CC2=CC=CC=C2N1,O=C(O)[C@@H]1CC2=CC=CC=C2N1
*C(=O)C1CCN(*)CC1,INP,O=C(O)C1CCNCC1,
*C(=O)C1CSCN1*,THZ,O=C(O)[C@H]1CSCN1,O=C(O)[C@@H]1CSCN1
*C(=O)C1C(O)CCN1*,3HY,O=C(O)[C@@H]1NCCC1O,O=C(O)[C@H]1NCCC1O
*C(=O)C1CC(=O)CN1*,KTP,O=C1CN[C@@H](C(=O)O)C1,O=C1CN[C@H](C(=O)O)C1
